Column1,Common Name,Botanical Name,Family,Plant Type,Mature Size,Sun Exposure,Soil Type,Soil pH,Bloom Time,Flower Color,Hardiness Zones,Native Area,Toxicity
913,,Helianthus annuus,,Annual,"3-10 ft. tall, 1.5-3 ft. wide",Full,Well-drained,"Acidic, neutral, alkaline","Summer, fall","Yellow, red, mahogany, bicolors",2-11 (USDA),North America,
914,,Impatiens x hybrida SunPatiens®,Balsaminaceae,Annual,"16-34 in. tall, 14-21 in.wide","Full sun, partial shade","Loamy, sandy, silt, moist but well-drained",Neutral to acidic (5.8 to 6.2),"Spring, summer, fall","Red, pink, orange, purple, white","10-12, USDA",n/a,
915,,Asclepias incarnata,,,,,,,,,,,
916,,Quercus bicolor,Fagaceae,Tree,"50 to 70 ft. tall, 50 to 70 ft. wide",Full sun,"Clay, loam, sand, moist but well-drained","Neutral to acidic, 5.0 to 7.4",Spring,Inconspicuous,"4-8, USA",North America,
917,"Sweet Annie, sweet wormwood",Artemisia annua,,Annual,"6 ft. tall, 2ft. wide",Full,"Sandy, Well-drained","Neutral, Alkaline",Summer,Yellow,"5-9, USA","Europe, Asia",
918,Sweet autumn clematis,Clematis terniflora,,Perennial vine,15 to 30 ft. long,Full sun to partial shade,"Moist, well-drained","Acidic, neutral (6 to 7)","Summer, Fall",Creamy white,4 to 9,Japan,Toxic to humans and animals
919,Sweet basil,Ocimum basilicum,Mint,,,Full sun (likes some shade in very hot climates),Somewhat rich soil,5.1-8.5 (acidic to alkaline),June to frost,,10-11 (grown as an annual elsewhere),Central Africa to Southeast Asia,
920,Sweet corn,Zea mays,Poaceae,Annual,,Full sun,"Loamy, well-drained","Acidic, neutral (6 to 7)",Summer,,2-11 (USDA),Mexico,
921,"Sweet pea shrub (bush), milkwort","Polygala × dalmaisiana, Polygala myrtifolia var. grandiflora",Polygalaceae,Broadleaf evergreen shrub,3-5 ft. tall and wide,"Full, partial","Rich, well-drained",Acid to neutral (6.0 to 7.5),Mid-summer through to fall; longer in frost-free climates,Purple-pink,9-11 (USDA),South Africa,
922,Sweet potato,Ipomoea batatas,Convolvulaceae,"Herbaceous perennial, usually grown as an annual vegetable",Vines spread to 20 ft.; tubers average 4-6 in.,Full sun to part shade,"Medium-moisture, well-drained soil",Acidic (5 to 6.5),3-4 months after planting,,8-11 (USDA),"North America, South America",
923,"Sweet potato vine, ornamental sweet potato vine",Ipomoea batatas,Convolvulaceae,Herbaceous perennial,"8-10 ft. long, 5-12 in. wide",Full sun,"Moist, well-drained",Neutral to acidic,"Spring, summer",Rarely flower but may produce pinkto purple-lavender,9-11 (USDA),Tropical regions of the Americas,
924,"Sweetbay (sweet bay) magnolia, swamp magnolia ",Magnolia virginiana,Magnoliaceae,Tree,"10-35 ft. tall, 10-35 ft. wide","Full, partial","Moist, rich",Acidic (5.5 to 6.5),"Late spring, early summer",White,4-10 (USDA),North America (eastern U.S.),
925,,Beta vulgaris var. cicla,,"Biennial, vegetable","18-24 in. tall, 9-12 in. wide","Full, partial","Rich, moist, well-drained",Slightly acidic (6 to 6.4),Summer,Yellow,"6-10 as biennial, 3-10 as annual (USDA)",Mediterranean,
926,"Swiss cheese plant, Swiss cheese vine, five holes plant",Monstera adansonii,Araceae,Perennial,"10-13 ft. tall (outdoors), 3-8 ft. tall (indoors), 1-3 ft. wide",Partial,"Moist, well-drained","Acidic, neutral",Spring (does not bloom indoors),White,"10-12, USA","Central America, South America",Toxic to pets
927,"Switchgrass, Tall Panic Grass",Panicum virgatum,Poaceae,Perennial,Up to 6 ft. tall,"Full, partial","Sandy, clay, moist","Acidic, neutral, alkaline",Summer,Pink,"3, 4, 5, 6, 7, 8, 9",North America,
928,,Nephrolepis obliterata,,Perennial,"2-3 ft. tall, 2-4 ft. wide","Partial, shade","Moist, well-drained","Acidic, neutral",,,9-11 (USDA),Australia,
929,"Sweet William, bearded pink, pinks",Dianthus barbatus,Caryophyllaceae,"Herbaceous, Perennial","1-2 ft. tall, 0.5-1 ft. wide","Full sun, part shade","Moist, Well-drained","Acidic, Neutral, Alkaline","Late Spring, Summer","Red, Pink, White, and Bicolor","4a-9b, USDA",Europe,Toxic to pets and people
930,,Platanus occidentalis,Platanaceae,Deciduous tree,75 to 100 feet tall,Full to partial sun,"Well-drained, consistently moist",5.0 to 8.0 (not fussy about soil pH),,,"4 to 9, USDA",Eastern North America,
931,Tall fescue grass,Festuca arundinacea,Poaceae,"Perennial, grass",4-12 in. high,"Full, partial",Tolerates most soils,"Acidic, neutral",,,"3, 4, 5, 6, 7, 8",Europe,
932,Tamarack,Larix laricina,,Deciduous Conifer,"40 to 80 ft. tall, 15 to 30 ft. wide",Full sun,"Moist, organic-rich",Acidic,Non-flowering,Non-flowering,"2-5, USDA",Northern North America,
933,"Elephant ear, taro, coco yam","Colocasia, Alocasia, Xanthosoma spp.",Araceae,Tropical perennial,"3-8 feet tall, similar spread; smaller in colder climates",Full sun to part shade,Moist,Acidic (5.5 to 7.0),Late spring to early fall (rarely flowers),Yellowish-white,8-11 (USDA),"Asia, Australia, Central America, South America, Africa",Toxic to pets and humans
934,"Tatsoi, Tah Tsai, Spoon mustard, Spinach mustard, Rosette bok choy",Brassica rapa subsp. narinosa,,Biennial ,"8-10 in. tall, 12 in. wide",Partial sun to full sun,"Rich, well-drained",Neutral (6.5 to 7.0),Seasonal,Yellow,4-7(USDA),Asia,
935,Taylor's juniper,Juniperus virginiana 'Taylor',,Coniferous evergreen,"15-20 ft. tall, 3-4 ft. wide",Full sun,"Average, dry to moist, well-drained",Acidic soils,Non-flowering,Non-flowering,"4 to 9, USDA",Eastern United States,
936,"Tea Olive, Sweet Olive",Osmanthus fragrans,Oleaceae,Shrub,"6-30 ft. tall, 6-30 ft. wide","Full, partial",Moist but well-drained,Neutral to acidic,Spring,White,8b - 11a,Asia,
937,"Texas mountain laurel, Texas mescalbean, coral bean, hot bean, frigolito",Dermatophyllum secundiflorum,,Evergreen flowering shrub,,Full sun to part shade,,,,Purple,"7b to 11, USA",,
938,"Annual Phlox, Drummond Phlox, Pride-of-Texas",Phlox drummondii,,Annual,"6-12 in. tall, 6-12 in. wide","Full sun, partial shade",Moist but well-drained,Acidic,"Spring, summer","Red, pink, purple, white",2-11 (USDA),North America,
939,"Texas Sage, Scarlet Sage, Blood Sage",Salvia coccinea,,Herb,"3 feet tall, 3 feet wide","Full sun, part sun, shade","Rich, loamy, clay, sandy",Adaptable,Summer through fall,Red,"USDA 9-10 (Perennial), to zone 4 as an annual","Mexico, southeastern United States",
940,"Swamp Hibiscus, scarlet rosemallow, Texas star hibiscus, water hibiscus",Hibiscus coccineus,,Herbaceous perennial,"Over 6 ft. tall, 4 ft. wide","Full sun, partial shade",Tolerates a variety,Tolerates a variety,July to September,Bright red,6-9 (USDA),Southeastern United States,
941,"Thanksgiving cactus, crab cactus, false Christmas cactus, holiday cactus, winter cactus",Schlumbergera truncata,Cactaceae,Cactus,"12-24 in. long, 12-24 in. wide","Partial, shade",Moist but well-drained,Acidic,Fall,"Red, pink, orange, white","10a, 10b, 11a, 11b, 12a, 12b",South America,
942,The President clematis,Clematis'The President',,"Deciduous, perennial, flowering vine",8-10 ft. tall,Full to partial sun,Well-drained loam,Slightly acidicto neutral,May—primary blooming period—till frost,Violet-blue,8-Apr,"North America, Central America, Europe, Asia",Toxic to humans and pets
943,,,,,,,,,,,,,
944,"Ti plant; ti; green ti; Hawaiian good-luck plant; ti tree; good-luck plant; common dracaena; dracaena; dracaena palm; lily palm; miracle plant; kï, lau kï, lä‘ï (Hawaiian)",Cordyline fruticosa (formerly Cordyline terminalis),Asparagaceae,Evergreen,"10 ft. tall, 3-4 ft. wide",Partial,"Loamy, sandy",Acidic,Spring,"White, pink, yellow, purple","10-12, USA","Asia, Australia, Pacific Islands",Toxic to pets
945,,,Asphodelaceae,,"18—24 in. tall, 8-12 in. wide",,"Well drained, sandy loam; cactus/succulent potting mix",,,,,,
946,"Tiger flower, Mexican shellflower, peacock flower",Tigridia pavonia,Iridaceae,Herbaceous perennial,"12-24 in. tall, 5 in. wide","Full, partial",Well-drained,Slightly acidic to slightly alkaline (6.1 to 7.8),Summer,"Pink, red, yellow, white",8-10 (USDA),Mexico,
947,Tiger lily,Lilium lancifolium (also known as L. tigrinum),Liliaceae,Herbaceous perennial grown from bulbs,"3-5 ft. tall, 7-8 inch spread",Full sun to part shade,"Loamy, moist, well-draining",5.5 to 6.5 (slightly acidic),Summer,"Orange with dark speckles; red, yellow, white, and pink hybrids also available",3-9 (USDA),Eastern Asia,Toxic to cats; pollen is toxic to humans
948,"Toad Lily, Hairy Toad Lily",Tricyrtis hirta,Liliaceae,Perennial,"2-3 ft. tall, 1-2 ft. wide","Partial, Shade","Loamy, Moist but Well-drained","Acidic, Neutral","Summer, Fall","Purple, White","4-8, USA",Asia,
949,"Tomatillo, husk tomato",Physalis ixocarpa,,Perennial vegetable; usually grown as an annual,,Full sun,"Rich, well-drained",Slightly acidic to neutral (6.5-7.0),,,8-10 (USDA); grown as annuals in all zones,Mexico,"Leaves, stems and husks are toxic"
950,,"Cardamine concatenata (Synonyms:Cardamine laciniata, Dentaria concatenata, Dentaria concatenata var. coalescens, Dentaria laciniata, Dentaria laciniata var. integra)",,Herbaceous perennial,"Three to ten inches tall, six inches to one foot wide",Part shade (Dappled sunlight and summertime afternoon shade),"Well-drained organically rich, mesic to moist",Circumneutral (pH 6.8-7.2),April to May,White,"3 - 8, USA",Eastern half of North America west to the Dakotas down to Texas,
951,,,,Succulent,"6 in. tall, 4 in. wide",Full,"Sandy, well-drained","Acidic, neutral",Spring,Yellow,9-11 (USDA),"Hybrid (parents from North America, Central America)",
952,,Impatiens balsamina,,Annual,"6-30 in. tall, 6-12 in. wide","Full, partial","Loamy, moist, well-drained","Acidic, neutral","Spring, summer, fall","Purple, pink, red, white, bicolors",2-11 (USDA),Asia,
953,"Gazania, treasure flower, African daisy",Gazania rigens,Asteraceae,Herbaceous perennial usually grown as an annual,Up to one foot tall and one foot wide,Full sun,"Sandy, well-drained",Acidic to neutral (5.8 to 7.0),"Late spring, early summer","Red, orange, yellow, white, pink, variegated","9—11, USA",South Africa,
954,"Tree philodendron, lacy tree philodendron, Philodendron selloum, horsehead philodendron","Philodendron bipinnatifidum, Thaumatophyllum bipinnatifidum",,Broadleaf evergreen,"15 ft. tall outdoors, 10 ft. spread outdoors; 6 ft. tall indoors, 8 ft. spread indoors.",Part shade; avoid direct full sun,"Loamy, moist but well-draining","Neutral, alkaline","Spring, summer",White,9 to 11,South America,Toxic to humans and pets
955,"Tricolor beech, tri-colored European beech, Roseomarginata European beech",Fagus sylvatica 'Tricolor' (also may be listed under F. Sylvatica'Roseo-Marginata' and 'Purpurea Tricolor'),,Deciduous tree,24-40 ft. tall and 30 ft. wide,Part shade,"Moist, well-drained soil",5.0-6.5; slightly acidic (but tolerates neutral soils),Early spring,,4-7 (USDA),"Southern England, Denmark",Nuts are mildly toxic to people and dogs
956,Trident Maple,Acer buergerianum,,,25-35 ft. Tall 15-25 ft. Wide,Full Sun,"Moist, well-drained soil",Neutral to Acidic,Early Spring,Inconspicuous,"5-9, USA",,
957,"Blood flower (bloodflower) tropical milkweed, Mexican butterfly weed",Asclepias curassavica,,"Herbaceous perennial, subshrub","3 ft. tall, 1-2 ft. wide","Full, partial",Well-drained,Slightly acidic to slightly alkaline (6.1-7.5),Early summer to fall,"Yellow, orange, red",9-11 (USDA); grown as annuals elsewhere,"Caribbean, Central America, South America",
958,Erythronium americanum,,Liliaceae,Herbaceous perennial,"4-8 in. tall, wide","Partial, full shade","Moist, humusy, well-drained",Acidic (below 6.8),Spring,Yellow,3-8 (USDA),Eastern North America,
959,"Trumpet vine, trumpet creeper, cow itch vine, hummingbird vine",Campsis radicans,Bignoniaceae,Woody perennia vine,"25-40 ft. long, 5-10 ft. wide","Full, partial","Average, moist but well-drained",Mildly acidic to mildly alkaline (6.0-8.0),Summer,"Orange, red, yellow",4-9 (USDA),North America (Southeast U.S.),Mildly toxic to people and animals
960,"Tulip tree, tulip poplar, yellow poplar",Liriodendron tulipifera,Magnoliaceae,Deciduous tree,"70-130 ft. tall, 30-60 ft. wide",Full sun,"Moist, well-drained",Acidic to alkaline (5.0 to 8.0),Spring,"Yellow-green, orange","4-9, USA",North America,
961,Tulip,Tulipa (spp. and hybrids),Liliaceae,Perennial flowering bulb,"9-24 in. tall, 6-9 in. wide (depending on type)",Full,"Rich, medium-moisture, well-drained soil",Slightly acidic to neutral (6.0 to 7.0),April to May (cold climate); February to March (warm climate),All colors except blue,3-8 (USDA),Originally from Central Europe and Eastern Asia; now widely cultivated and hybridized,Toxic to humans and pets
962,,Nyssa sylvatica,,Tree,"30-50 ft. tall, 20-30 ft. wide","Full, partial","Moist, well-drained",Acidic,Spring,Greenish-white,3-9 (USDA),North America,
963,Zoysia grass,Zoysia spp.,Poaceae,Perennial,6-12 in.,Full sun,Well-drained,Slightly acidic (6.0-6.5),,,"5-10, USA",Korea,
964,Turnip,Brassica rapa,,Annual vegetable,12-18 in. tall; 6- to 8-in. spread,Full sun to part shade,"Sandy, well-draining",Slightly acidic (6.0-6.5),,,Annual plant; grown in zones 2 to 9,"Europe, especially Mediterranean regions",
965,,Cheloneobliqua,Plantaginaceae,Herbaceous perennial,"2-3 ft. tall, 1-2 ft. wide","Full sun, partial shade","Rich, moist",Neutral to slightly acidic (5.0 to 6.8),"Summer, early fall","Pink, purple, white","5-9, USA",Eastern North America,
966,,Carex stricta,,Rhizomatous evergreen,One to three feet tall and one to two feet wide,Full sun to part shade,Wet clay,Acidic to neutral,Late spring,Reddish brown,"3 - 8, USA",Eastern North America,
967,"Tweedia, blue tweedia, blue milkweed","Oxypetalum coeruleum, also known as Tweedia coeruleum",Apocynaceae,Herbaceous annual (perennial in zones 10-11),"2-3 ft. tall, 2-3 ft. wide (up to 10 ft. long when grown as a perennial)","Full, partial",Moist but well-drained,Acidic to alkaline (5.0-8.0),"Summer, fall",Light blue,10-11 (USDA),South America,"Sap is mildly toxic to humans, pets"
968,"Skeleton flower, umbrella leaf, Asian umbrella leaf",Diphylleia grayi,Berberidaceae,"Perennial, herbaceous","12-18 in. tall, 1-3 ft. wide","Partial, full shade","Sandy, loamy",Acidic to neutral (4.5 to 7.0),Summer,White,4-9 (USDA),"China, Japan",
969,,Juniperus osteosperma,,"Tree, Shrub",30 feet tall,Full Sun to Part Shade,"Sandy, Gravelly, Loose Rock",Neutral,No Bloom,No flower but shows blue to purple berry like cones.,9-May,,
970,,,,Perennial,,,"Average, well-drained, loam",Tolerant of most soils,,,USDA 3 to 9,,
971,Vanda orchid,Vanda spp.,Orchidaceae,Herbaceous perennial,1-3 ft. tall,"Part bright sunlight, part shade","Soilless growing medium, such as peat moss or bark",Slightly acidic,"Cyclical, every few months","Pink, red, yellow, orange, blue, purple, white",10-11 (USDA),Asia,
972,"Venus fly trap,Venus flytrap",Dionaea muscipula,,Herbaceous plant with a perennial life cycle,6 to 12 inches tall by 6 to 9 inches wide,Full sun to partial shade,"Poor, sandy soil kept constantly wet",Acidic,May to June,White,5 to 8,The Carolinas,
973,,Verbena x,,"Herbaceous perennial, usually grown as an annual","Up to 12 inches tall, 18-inch spread (depends on variety)",Full sun,"Dry to medium moisture, well-drained soil",5.8 to 7.2 (acidic),Spring to fall,"White, red, purple, pink, peach (depends on variety)",9 to 11 (USDA),Cultivated hybrid; parent species mostly native to Europe,
974,"Speedwell, Bird’s Eye, Gypsyweed",Veronica,Plantaginaceae,"Perennial, Annual","Less than 1/2 in. to 4 ft. tall, 8 in. to 2 ft. wide","Full, partial","Loamy, Sandy, Clay, Well-drained","Acidic, Neutral, Alkaline","Spring, Summer, Fall","Pink, Blue, Purple, White",3-9 (USDA),"Europe, Asia",
975,"Viburnum, American cranberry bush, hobblebush",Viburnum spp.,Adoxaceae,Shrub,3-20 ft. tall,"Full, partial",Moist but well-drained soil,"Neutral, acidic",,"White, pink",,North America,
976,,Vinca minor,Apocynaceae/dogbane,Evergreen perennial,3-6 in. tall with trailing vines up to 18 in. long,"Full, partial, shade","Loamy, sandy, clay","Acidic, neutral, alkaline","Spring, summer","Blue, lavender, purple, white",4-9 (USDA),,
977,"Viola, Johnny-jump-up, pansy, violet, sweet violet",Viola spp.,Violaceae,Annuals or short-lived perennials,"4-10 in. tall, similar spread (varies by species)",Full sun to part shade (sunlight needs vary by species),"Rich, moist, well-draining soil",5.4-6.2 (Acidic),Spring or fall bloom (or both),"Light to deep violet, purple-black, peach, white, blue, yellow, and cream",3-8 (USDA),Northern hemisphere,
978,"Virginia creeper, Victoria creeper, five-leaved ivy, five-finger, woodbine",Parthenocissus quinquefolia,Vitaceae (grape family),"Perennial, Vine",30 to 50 feet,"Full, Partial, Shade","Sandy, Clay, Loamy",Neutral to acidic (5.1 to 7.3),Summer,Greenish white,"3, 4, 5, 6, 7, 8, 9, 10 (USDA)",Eastern and Central United States,Toxic to humans
979,"Virginia pine, Jersey pine, spruce pine, scrub pine",Pinusvirginiana,,,40-70 ft. tall,Full sun,"Well-drained, sandy, loamy, clay",5.0-7.0,,,4-8 (USDA),,
980,Virginia sweetspire and Virginia willow,,,Shrub,"4 to 8 ft. tall, with a similar spread","Full, partial",Moist but well-drained,Acidic,Summer,White,,North America,
981,"Viscaria, sticky catchfly, clammy campion, rose of heaven",Silene viscaria (also classified as Viscaria vulgaris or Lychnis viscaria),,Perennial,12-18 in. tall,"Full, partial","Well-drained, sandy, loamy",Slightly acidic to slightly alkaline (6.1-7.8),Summer,Purple,3-8 (USDA),"Europe (Iceland), North America (Canada, Greenland), Asia (Kazakhstan, Siberia)",
982,Vitex,Vitex agnus-castus,,Deciduous shrub,8-10 ft. tall; 5-8 ft. spread,Full sun,"Loose, well-drained soil",Acidic to slightly alkaline (5.6 to 7.5),Mid-summer,"Violet, blue",6 to 9 (USDA),"Mediterranean, Asia",
983,Wallflower,Erysimum,,"Perennial, annual",1-3 ft. tall,"Full sun, part sun","Sandy, well-drained",7.0-9.0,"Spring, summer, fall","Yellow, orange, purple, pink, blue, red",6-9 (USDA),Southern Europe,Toxic to human and animals
984,"Wandflower, whirling butterfly, bee blossom",Oenothera lindheimeri,Onagraceae,Herbaceous perennial,"15-48 in. tall, 15-48 in. wide",Full sun,Sandy,Acidic to alkaline,"Summer, fall","White, pink, white-pink",5-9 (USDA),North America,
